	Auricularia_delicata.fasta
GF00000001	scaffold_23, scaffold_145, scaffold_174, scaffold_144, scaffold_139, scaffold_164, scaffold_193, scaffold_255, scaffold_260, scaffold_200, scaffold_230, scaffold_297, scaffold_409, scaffold_595, scaffold_625, scaffold_474, scaffold_808, scaffold_369, scaffold_1085, scaffold_1385, scaffold_594, scaffold_586, scaffold_966, scaffold_768, scaffold_955, scaffold_660, scaffold_1027, scaffold_875, scaffold_1033, scaffold_1396, scaffold_1172, scaffold_1347, scaffold_563, scaffold_679, scaffold_920, scaffold_1431, scaffold_1401
GF00000002	scaffold_34, scaffold_159, scaffold_109, scaffold_137, scaffold_191, scaffold_153, scaffold_578, scaffold_582, scaffold_398, scaffold_612, scaffold_382, scaffold_727, scaffold_1384, scaffold_682, scaffold_740, scaffold_975, scaffold_933, scaffold_1390, scaffold_812, scaffold_1432, scaffold_1280, scaffold_1003, scaffold_1457, scaffold_1185, scaffold_918, scaffold_1005, scaffold_951, scaffold_1449, scaffold_1225, scaffold_1295, scaffold_987, scaffold_565, scaffold_1079
GF00000003	scaffold_8, scaffold_26, scaffold_98, scaffold_149, scaffold_222, scaffold_252, scaffold_388, scaffold_483, scaffold_348, scaffold_579, scaffold_628, scaffold_381, scaffold_738, scaffold_457, scaffold_886, scaffold_513, scaffold_482, scaffold_588, scaffold_667, scaffold_695, scaffold_1439, scaffold_866, scaffold_1523, scaffold_816, scaffold_1420, scaffold_1120, scaffold_895, scaffold_941, scaffold_1187
GF00000004	scaffold_16, scaffold_14, scaffold_29, scaffold_58, scaffold_87, scaffold_120, scaffold_130, scaffold_117, scaffold_152, scaffold_154, scaffold_347, scaffold_379, scaffold_330, scaffold_267, scaffold_618, scaffold_404, scaffold_970, scaffold_405, scaffold_793, scaffold_675, scaffold_1086, scaffold_726, scaffold_1464, scaffold_1100, scaffold_1521, scaffold_1495, scaffold_796, scaffold_1093, scaffold_1498
GF00000005	scaffold_12, scaffold_60, scaffold_67, scaffold_129, scaffold_127, scaffold_169, scaffold_261, scaffold_229, scaffold_293, scaffold_463, scaffold_458, scaffold_1007, scaffold_567, scaffold_647, scaffold_1289, scaffold_1376, scaffold_1024, scaffold_1046, scaffold_1095, scaffold_435, scaffold_1320, scaffold_1202, scaffold_1198, scaffold_1246, scaffold_1276, scaffold_1302, scaffold_1486, scaffold_1518
GF00000006	scaffold_1, scaffold_75, scaffold_178, scaffold_210, scaffold_212, scaffold_233, scaffold_237, scaffold_186, scaffold_314, scaffold_339, scaffold_359, scaffold_452, scaffold_465, scaffold_637, scaffold_786, scaffold_863, scaffold_873, scaffold_894, scaffold_924, scaffold_993, scaffold_1127, scaffold_1159, scaffold_1354, scaffold_1490, scaffold_1497, scaffold_1477
GF00000007	scaffold_15, scaffold_90, scaffold_180, scaffold_168, scaffold_294, scaffold_263, scaffold_346, scaffold_613, scaffold_570, scaffold_583, scaffold_1152, scaffold_939, scaffold_559, scaffold_953, scaffold_639, scaffold_1006, scaffold_878, scaffold_885, scaffold_1069, scaffold_1208, scaffold_1213, scaffold_1286, scaffold_1402, scaffold_1452, scaffold_1455
GF00000008	scaffold_48, scaffold_68, scaffold_81, scaffold_108, scaffold_171, scaffold_177, scaffold_223, scaffold_364, scaffold_342, scaffold_358, scaffold_311, scaffold_580, scaffold_988, scaffold_790, scaffold_1358, scaffold_617, scaffold_674, scaffold_1248, scaffold_544, scaffold_1109, scaffold_845, scaffold_1243, scaffold_1506, scaffold_1264, scaffold_1170
GF00000009	scaffold_7, scaffold_183, scaffold_215, scaffold_301, scaffold_413, scaffold_443, scaffold_450, scaffold_597, scaffold_747, scaffold_944, scaffold_960, scaffold_1042, scaffold_1226, scaffold_1323, scaffold_1355, scaffold_1391, scaffold_1398, scaffold_1433, scaffold_1470, scaffold_1520
GF00000010	scaffold_47, scaffold_125, scaffold_270, scaffold_883, scaffold_1258, scaffold_686, scaffold_389, scaffold_604, scaffold_830, scaffold_571, scaffold_1273, scaffold_1300, scaffold_573, scaffold_1483, scaffold_887, scaffold_904, scaffold_1142, scaffold_1158, scaffold_1363, scaffold_526
GF00000011	scaffold_88, scaffold_320, scaffold_429, scaffold_300, scaffold_1141, scaffold_1461, scaffold_1111, scaffold_488, scaffold_1516, scaffold_1496, scaffold_855, scaffold_897, scaffold_1097, scaffold_1206, scaffold_1409, scaffold_307, scaffold_724, scaffold_1017, scaffold_1277, scaffold_534
GF00000012	scaffold_49, scaffold_86, scaffold_136, scaffold_156, scaffold_189, scaffold_291, scaffold_264, scaffold_281, scaffold_447, scaffold_742, scaffold_486, scaffold_1044, scaffold_804, scaffold_1319, scaffold_1507, scaffold_1527
GF00000013	scaffold_24, scaffold_194, scaffold_234, scaffold_250, scaffold_550, scaffold_368, scaffold_374, scaffold_601, scaffold_714, scaffold_1489, scaffold_1156, scaffold_1378, scaffold_1447, scaffold_540, scaffold_564
GF00000014	scaffold_59, scaffold_100, scaffold_124, scaffold_211, scaffold_632, scaffold_1098, scaffold_800, scaffold_1377, scaffold_1341, scaffold_1131, scaffold_1345, scaffold_1287, scaffold_1453, scaffold_1316, scaffold_1339
GF00000015	scaffold_11, scaffold_386, scaffold_432, scaffold_472, scaffold_584, scaffold_656, scaffold_1128, scaffold_1147, scaffold_957, scaffold_1080, scaffold_1057, scaffold_1197, scaffold_1201, scaffold_1270
GF00000016	scaffold_19, scaffold_43, scaffold_134, scaffold_182, scaffold_365, scaffold_437, scaffold_1176, scaffold_1502, scaffold_1119, scaffold_1137, scaffold_1247, scaffold_1218, scaffold_1379, scaffold_1368
GF00000017	scaffold_304, scaffold_241, scaffold_569, scaffold_353, scaffold_361, scaffold_363, scaffold_367, scaffold_557, scaffold_638, scaffold_910, scaffold_721, scaffold_917, scaffold_355, scaffold_1430
GF00000018	scaffold_64, scaffold_97, scaffold_146, scaffold_207, scaffold_235, scaffold_931, scaffold_1234, scaffold_1238, scaffold_1438, scaffold_508, scaffold_688, scaffold_1112, scaffold_1157
